episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason,total_timestep
345,8,44.235,4.577,164.607,0.000,0.075,1,goal,978
346,5,-197.566,32.877,431.725,0.000,0.002,0,collision,983
347,5,-47.130,32.944,491.546,0.000,0.000,1,goal,988
348,2,-199.174,14.802,207.729,0.000,0.000,0,collision,990
349,2,-199.539,14.263,183.407,0.000,0.057,0,collision,992
350,1,-200.084,3.294,4.057,0.000,0.142,0,collision,993
351,3,-198.559,20.857,418.582,0.000,0.318,0,collision,996
352,4,-198.576,16.104,396.221,0.006,0.174,0,collision,1000
353,3,48.017,3.457,61.450,0.000,0.000,1,goal,1003
354,4,-198.297,25.557,410.164,0.000,0.144,0,collision,1007
355,2,50.577,13.498,143.948,0.000,0.000,1,goal,1009
356,3,-198.490,20.424,412.854,0.000,0.017,0,collision,1012
357,9,-211.328,1.989,137.271,0.012,0.071,0,collision,1021
358,5,52.616,32.113,508.451,0.000,0.000,1,goal,1026
359,3,51.363,20.697,414.507,0.000,0.000,1,goal,1029
360,2,-199.410,12.690,98.089,0.000,0.047,0,collision,1031
361,9,-48.263,19.056,821.415,0.000,0.000,1,goal,1040
362,2,-199.329,13.788,147.724,0.000,0.161,0,collision,1042
363,2,50.321,11.989,71.330,0.000,0.332,1,goal,1044
364,2,-199.580,11.850,70.151,0.000,0.172,0,collision,1046
365,1,-200.032,5.500,18.265,0.000,0.386,0,collision,1047
366,3,51.068,20.609,373.614,0.000,0.000,1,goal,1050
367,4,-198.590,15.636,413.096,0.034,0.395,0,collision,1054
368,1,0.000,0.000,0.000,0.000,0.000,0,not_found,1055
369,6,-200.737,11.125,360.868,0.000,0.056,0,collision,1061
370,1,-200.000,0.000,0.000,0.000,0.007,0,collision,1062
371,3,51.100,20.295,387.799,0.000,0.000,1,goal,1065
372,2,50.440,13.156,91.814,0.000,0.000,1,goal,1067
373,3,51.039,19.697,278.784,0.000,0.033,1,goal,1070
374,4,51.880,26.222,407.298,0.000,0.000,1,goal,1074
375,3,50.901,20.245,312.187,0.000,0.003,1,goal,1077
376,2,50.922,14.114,196.749,0.000,0.000,1,goal,1079
377,1,-200.000,0.000,0.000,0.000,0.049,0,collision,1080
378,4,-198.767,25.814,416.679,0.000,0.369,0,collision,1084
379,3,51.175,20.126,333.358,0.000,0.000,1,goal,1087
380,2,-199.316,14.972,210.447,0.000,0.083,0,collision,1089
381,3,-198.794,20.678,424.612,0.000,0.634,0,collision,1092
382,3,-199.053,10.016,228.403,0.000,0.636,0,collision,1095
383,1,0.000,0.000,0.000,0.000,0.000,0,not_found,1096
384,1,50.003,5.508,18.298,0.000,0.000,1,goal,1097
385,3,51.053,19.423,318.177,0.000,0.038,1,goal,1100
386,4,-197.598,27.951,406.232,0.000,0.237,0,collision,1104
387,1,-199.845,7.944,44.013,0.000,0.000,0,collision,1105
388,1,50.123,8.456,53.102,0.000,0.000,1,goal,1106
389,2,-199.342,13.393,142.594,0.000,0.475,0,collision,1108
390,2,49.901,13.847,135.069,0.000,0.133,1,goal,1110
391,3,48.007,3.474,61.850,0.000,0.000,1,goal,1113
392,4,-198.324,26.679,405.563,0.000,0.220,0,collision,1117
393,3,-198.777,20.494,414.625,0.000,0.276,0,collision,1120
394,1,50.098,8.012,44.426,0.000,0.000,1,goal,1121
395,1,-199.904,7.561,36.428,0.000,0.000,0,collision,1122
